id,schema,name,country,topics,birthDate,nationality,position,registrationNumber,address,sanctions,datasets,sourceUrl
usgsa-9a7e6208b6271905a20ab65a9c665faf1680c69d,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a7e68202c74435cd51a388d28d529b517611877,Person,Brandon Dewitt Ball,us,debarment,,,,,"Gulfport, MS 39501",,us_sam_exclusions,
usgsa-9a7e897c68da94dfea8a27e6d4554628277d574a,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a7ed571029295f10a16a942f853c8493ea11544,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a7fc4cc75a031e5204cba3fc6694ba6ea2582d0,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a7fc5cf4d246a151d517b988cba6370647117ef,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a805e2d2c8d44a530cc1ff03e15400ab2626669,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a808f67ed872c9cd783419ab319427e73610af4,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a80f5e0970675409580647e0e5975b46381fd1f,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a816b739e0b2b85b79a25c156f5fccbb36e443a,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
usgsa-9a819a6db28b483d498b0bd932fbfa89a70a1f32,Sanction,,us,,,,,,,,us_sam_exclusions,https://sam.gov/data-services/Exclusions/Public%20V2?privacy=Public
